Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME71015;MONARCHYPLACEHOLDER;;;;;;;;;;;;;
EVTDESC71015;MONARCHYPLACEHOLDER!;;;;;;;;;;;;;
EVTOPTA71015;MONARCHYPLACEHOLDER.;;;;;;;;;;;;;
EVTOPTB71015;MONARCHYPLACEHOLDER.;;;;;;;;;;;;;
EVTNAME71016;"So then I said";;;;;;;;;;;;;
EVTDESC71016; ;;;;;;;;;;;;;
EVTOPTA71016;When is the verb?;;;;;;;;;;;;;
slot_1;§b            §!;;;;;;;;;;;;;
slot_2;§b            §!;;;;;;;;;;;;;
slot_3;§b            §!;;;;;;;;;;;;;
slot_4;§b            §!;;;;;;;;;;;;;
slot_5;§b            §!;;;;;;;;;;;;;
slot_6;§b            §!;;;;;;;;;;;;;
slot_7;§b            §!;;;;;;;;;;;;;
slot_8;§b            §!;;;;;;;;;;;;;
slot_9;§b            §!;;;;;;;;;;;;;
slot_10;§b            §!;;;;;;;;;;;;;
slot_11;§b            §!;;;;;;;;;;;;;
slot_12;§b            §!;;;;;;;;;;;;;
slot_13;§b            §!;;;;;;;;;;;;;
slot_14;§b            §!;;;;;;;;;;;;;
slot_15;§b            §!;;;;;;;;;;;;;
slot_16;§b            §!;;;;;;;;;;;;;
slot_17;§b            §!;;;;;;;;;;;;;
slot_18;§b            §!;;;;;;;;;;;;;
slot_19;§b            §!;;;;;;;;;;;;;
slot_20;§b            §!;;;;;;;;;;;;;
linebreak_state;\n;;;;;;;;;;;;;
commabreak_state;,;;;;;;;;;;;;;
tabbreak_state;     ;;;;;;;;;;;;;
spacebreak_state; ;;;;;;;;;;;;;
flexicommabreak_state;,;;;;;;;;;;;;;
loc_and;;;;;;;;;;;;;;
berlin_conference_intro;§bThe following nations have been invited to the Berlin Conference.\n§!;;;;;;;;;;;;;
berlin_conference_intro_outro;§bTogether we can hope to avoid conflict in the division of the continent.\n§!;;;;;;;;;;;;;
berlin_conference_intro_tooltip;§YThis will begin a chain of events to divide the regions of Africa.\n§!;;;;;;;;;;;;;
berlin_conference_colony_sec_1;§bThe region of§!;;;;;;;;;;;;;
berlin_conference_colony_sec_2;§bis disputed between§!;;;;;;;;;;;;;
arbitration_and_disputes_state;§bOur rightful lands lie within the borders of our neighbors! We can chose a dispute and a great power to arbitrate which may be in to our favour. First we must choose the region§!;;;;;;;;;;;;;
arbitration_and_disputes_state_2;§bWe now must choose a§!;;;;;;;;;;;;;
arbitration_and_disputes_gp_or_entity;§bGreat Power§!;;;;;;;;;;;;;
arbitration_and_disputes_state_3;§bto adjudicate on our claim.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_4;§bhas asked us to adjudicate their claim on territory shared by§!;;;;;;;;;;;;;
arbitration_and_disputes_state_5;§b. To whom should we award the lands?§!;;;;;;;;;;;;;
arbitration_and_disputes_state_6;§RNote!§! §bThis does not guarantee either parties will respect our decision.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_7;§bhas asked§!;;;;;;;;;;;;;
arbitration_and_disputes_state_8;§bto arbitrate on claims they hold on our lands.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_9;§bhas awarded the regions to our neighbor. Should we accept these claims or face international confrontation?§!;;;;;;;;;;;;;
arbitration_and_disputes_state_10;§RNote!§! §bRefusal to accept this decision risks war with§!;;;;;;;;;;;;;
arbitration_and_disputes_state_11;§bhas not given their support to our claims. We must continue to bide our time.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_12;§bhas ruled in our favour against§!;;;;;;;;;;;;;
arbitration_and_disputes_state_13;§b. We can now begin intergrating the new regions.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_14;§b has respected our decision.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_15;§b Our handling of this affair won't go unnoticed by the great powers.§!;;;;;;;;;;;;;
neutrality_state_1;§bThe Following countries have declared Neutrality. This changes the international fallout from hostile acts against them.§!;;;;;;;;;;;;;
commonwealth_games_state_1;§bWe have the option to choose the host nation for the 1836 British Empire Games. Our choice will recive a boost to their prestige & the option to select a host city. This will result in a local economic boom. If we were not the previous hosts, we also have the option to select ourselves.§!;;;;;;;;;;;;;
treaty_port_state_1;§bOur recent humiliation of§!;;;;;;;;;;;;;
treaty_port_state_2;§b has allowed us an opportunity. We could seize territory to establish an outpost, to develop our military and economic interests in the region.§!;;;;;;;;;;;;;
change_capital_desc;§bno longer suits our needs.§!;;;;;;;;;;;;;
change_capital_desc_2;§bneeds a new administrative capital. Construction will take time, but will provide a local stimulus to our city of choice. This event will picks cities with major populations and/or cultural significance.§!;;;;;;;;;;;;;
change_capital_state_3;§b  (§!;;;;;;;;;;;;;
change_capital_state_4;§RThousand Pounds§! §b)§!;;;;;;;;;;;;;
change_capital_state_5;§YThe cost of the province is based on its Terrain & Infrastructure level.§!;;;;;;;;;;;;;
change_capital_state_6;§bConstructions in§!;;;;;;;;;;;;;
change_capital_state_7;§bare now complete! We can now move administrative functions from§!;;;;;;;;;;;;;
