Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME71015;MONARCHYPLACEHOLDER;;;;;;;;;;;;;
EVTDESC71015;MONARCHYPLACEHOLDER!;;;;;;;;;;;;;
EVTOPTA71015;MONARCHYPLACEHOLDER.;;;;;;;;;;;;;
EVTOPTB71015;MONARCHYPLACEHOLDER.;;;;;;;;;;;;;
EVTNAME71016;"So_then_I_said";;;;;;;;;;;;;
EVTDESC71016;_;;;;;;;;;;;;;
EVTOPTA71016;When_is_the_verb?;;;;;;;;;;;;;
slot_1;§b____________§!;;;;;;;;;;;;;
slot_2;§b____________§!;;;;;;;;;;;;;
slot_3;§b____________§!;;;;;;;;;;;;;
slot_4;§b____________§!;;;;;;;;;;;;;
slot_5;§b____________§!;;;;;;;;;;;;;
slot_6;§b____________§!;;;;;;;;;;;;;
slot_7;§b____________§!;;;;;;;;;;;;;
slot_8;§b____________§!;;;;;;;;;;;;;
slot_9;§b____________§!;;;;;;;;;;;;;
slot_10;§b____________§!;;;;;;;;;;;;;
slot_11;§b____________§!;;;;;;;;;;;;;
slot_12;§b____________§!;;;;;;;;;;;;;
slot_13;§b____________§!;;;;;;;;;;;;;
slot_14;§b____________§!;;;;;;;;;;;;;
slot_15;§b____________§!;;;;;;;;;;;;;
slot_16;§b____________§!;;;;;;;;;;;;;
slot_17;§b____________§!;;;;;;;;;;;;;
slot_18;§b____________§!;;;;;;;;;;;;;
slot_19;§b____________§!;;;;;;;;;;;;;
slot_20;§b____________§!;;;;;;;;;;;;;
slot_21;§b____________§!;;;;;;;;;;;;;
slot_22;§b____________§!;;;;;;;;;;;;;
slot_23;§b____________§!;;;;;;;;;;;;;
slot_24;§b____________§!;;;;;;;;;;;;;
slot_25;§b____________§!;;;;;;;;;;;;;
slot_26;§b____________§!;;;;;;;;;;;;;
slot_27;§b____________§!;;;;;;;;;;;;;
slot_28;§b____________§!;;;;;;;;;;;;;
slot_29;§b____________§!;;;;;;;;;;;;;
slot_30;§b____________§!;;;;;;;;;;;;;
slot_31;§b____________§!;;;;;;;;;;;;;
slot_32;§b____________§!;;;;;;;;;;;;;
slot_33;§b____________§!;;;;;;;;;;;;;
slot_34;§b____________§!;;;;;;;;;;;;;
slot_35;§b____________§!;;;;;;;;;;;;;
slot_36;§b____________§!;;;;;;;;;;;;;
slot_37;§b____________§!;;;;;;;;;;;;;
slot_38;§b____________§!;;;;;;;;;;;;;
slot_39;§b____________§!;;;;;;;;;;;;;
slot_40;§b____________§!;;;;;;;;;;;;;
linebreak_state;\n;;;;;;;;;;;;;
commabreak_state;,;;;;;;;;;;;;;
tabbreak_state;_____;;;;;;;;;;;;;
spacebreak_state;_;;;;;;;;;;;;;
flexicommabreak_state;,;;;;;;;;;;;;;
loc_and;;;;;;;;;;;;;;
loc_the_cap;The;;;;;;;;;;;;;
fullstop_state;.;;;;;;;;;;;;;
ram_settings_chaos_mode;§bChaos_Mode._§!;;;;;;;;;;;;;
