Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
any_effected_province;§YAny Effected Province§!;;;;;;;;;;;;;
ram_settings_chaos_mode_tooltip;This option will de-restrict sensible logic for mechanics & events. AI will be more capable/likely to do random things. Enabling this decision will likely cause issues with balance & immersion and is not recommended. Some restrictions will still apply. Peformance may be impacted.;;;;;;;;;;;;;
ram_settings_performance_mode_tooltip;This option will reduce the complexity in conditions. AI will be dumber & more conservative. The decision is mainly targeting RAM spikes, however will give a tiny increase game speed. Some saftey caps will be applied with will reduce your ingame event options/content. This option is §RNOT§! recommended unless you encounter RAM issues or are running an absolute potato.;;;;;;;;;;;;;
ram_settings_dev_mode_tooltip;This option will provide more information to aid in development. Perforamance will decline. This option is §RNOT§! recommended unless instructed or incase of a very broken save.;;;;;;;;;;;;;
ram_settings_dis_dev_mode_tooltip;Custom dev flag for testing dismantlement.;;;;;;;;;;;;;
berlin_conference_intro_tooltip;§YThis will begin a chain of events to divide the regions of Africa.\n§!;;;;;;;;;;;;;
arbitration_and_disputes_stateb;Will be selected as the §RArbitee§!;;;;;;;;;;;;;
arbitration_and_disputes_state_3b;Will be selected as the §lArbitrator§!;;;;;;;;;;;;;
arbitration_and_disputes_state_6d;The §lArbitree§! will recive an event where they can either accept or rebuke our decision.\n\nWe stand to gain §GTransfer of Territory§! & §GPrestige§!, or face §REscalation.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_6e;The §lInitiator§! will recive an event where they can either accept or rebuke our decision.\n\nWe stand to gain §GTransfer of Territory§! & §GPrestige§!, or face §REscalation.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_6f;The §lArbitree§! will recive an event where they can either accept or rebuke our decision.\n\nWe stand to gain §GIndependence of Territory§! & §GPrestige§!, or face §REscalation.§!;;;;;;;;;;;;;
arbitration_and_disputes_state_10c;The §RArbitrator§! may back down, or declare war on us to force the transfer any cores owned by the §RInitiator§!;;;;;;;;;;;;;
arbitration_and_disputes_state_10d;Any owned provinces which have §RInitiator§! cores wil be transfered to the §RInitiator§!;;;;;;;;;;;;;
arbitration_and_disputes_state_10e;The §RArbitrator§! may back down, or declare war on us to either force the transfer any cores owned by the §RArbitee§! and renounce any claims to their land.;;;;;;;;;;;;;
arbitration_and_disputes_state_10f;Any owned provinces which have §RArbitee§! cores wil be transfered to the §RArbitee§!;;;;;;;;;;;;;
arbitration_and_disputes_state_10g;The §RArbitrator§! may back down, or declare war on us to force the transfer any §RInitiator§! cores owned by the §RAutonomous Region§!;;;;;;;;;;;;;
arbitration_and_disputes_state_10h;Any owned provinces which have §RInitiator§! cores wil be transfered to the §RAutonomous Region§!;;;;;;;;;;;;;
arbitration_and_disputes_state_17b;Any provinces owned by §RInitiator§! which have our cores wil be transfered to §GUs§!\n;;;;;;;;;;;;;
arbitration_and_disputes_state_17c;Any provinces owned by §RArbitee§! which have our cores wil be transfered to §GUs§!\n;;;;;;;;;;;;;
arbitration_and_disputes_state_18e;We will §RDeclare War§! on the §RInitiator§! to force the transfer of any province which contains a §GArbitee§! core.\n;;;;;;;;;;;;;
arbitration_and_disputes_state_18f;We will §RDeclare War§! on the §RArbitee§! to force the transfer of any province which contains a §GInitiator§! core.\n;;;;;;;;;;;;;
arbitration_and_disputes_state_18g;We will §RDeclare War§! on the §RArbitee§! to force the independence of §RAutonomous Region§! in any province which contains an §GInitiator§! core.\n;;;;;;;;;;;;;
arbitration_and_disputes_state_22b;Any provinces owned by §RInitiator§! which have §GArbitee§! cores wil be transfered to the §GArbitee§!;;;;;;;;;;;;;
arbitration_and_disputes_state_22c;Any provinces owned by §RArbitee§! which have §GInitiator§! cores wil be transfered to the §GInitiator§!;;;;;;;;;;;;;
missionaries_tooltip_1;§YProselytiser§! * Trigger the '§Your Missionary Triumphs§!' event.;;;;;;;;;;;;;
missionaries_tooltip_2;§YProselytiser§! * Trigger the '§Your Missionary is a Damned Fool§!' event.;;;;;;;;;;;;;
missionaries_tooltip_3;§YProselytiser§! * Trigger the '§Your Missionary is Toast§!' event.;;;;;;;;;;;;;
missionaries_decision_1;Found a '§YColonial Society§!';;;;;;;;;;;;;
missionaries_decision_2;Open the §YColonial Society Menu§!;;;;;;;;;;;;;
state_religion_catholic;State Religion set to §YCatholicism§!.\n;;;;;;;;;;;;;
state_religion_protestant;State Religion set to §YProtestantism§!.\n;;;;;;;;;;;;;
state_religion_reformed;State Religion set to §Y§YReformed Christianity§!.\n;;;;;;;;;;;;;
state_religion_anglican;State Religion set to §YAnglicanism§!.\n;;;;;;;;;;;;;
