Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
divider_for_org_a; ;;;;;;;;;;;;;
divider_for_org_a_desc; ;;;;;;;;;;;;;
divider_for_org_b; ;;;;;;;;;;;;;
divider_for_org_b_desc; ;;;;;;;;;;;;;
divider_for_org_c; ;;;;;;;;;;;;;
divider_for_org_c_desc; ;;;;;;;;;;;;;
divider_for_org_d; ;;;;;;;;;;;;;
divider_for_org_d_desc; ;;;;;;;;;;;;;
divider_for_org_e; ;;;;;;;;;;;;;
divider_for_org_e_desc; ;;;;;;;;;;;;;
divider_for_org_f; ;;;;;;;;;;;;;
divider_for_org_f_desc; ;;;;;;;;;;;;;
divider_for_org_g; ;;;;;;;;;;;;;
divider_for_org_g_desc; ;;;;;;;;;;;;;
divider_for_org_h; ;;;;;;;;;;;;;
divider_for_org_h_desc; ;;;;;;;;;;;;;
divider_for_org_i; ;;;;;;;;;;;;;
divider_for_org_i_desc; ;;;;;;;;;;;;;
divider_for_org_j; ;;;;;;;;;;;;;
divider_for_org_j_desc; ;;;;;;;;;;;;;
divider_for_org_k; ;;;;;;;;;;;;;
divider_for_org_k_desc; ;;;;;;;;;;;;;
divider_for_org_l; ;;;;;;;;;;;;;
divider_for_org_l_desc; ;;;;;;;;;;;;;
divider_for_org_m; ;;;;;;;;;;;;;
divider_for_org_m_desc; ;;;;;;;;;;;;;
divider_for_org_n; ;;;;;;;;;;;;;
divider_for_org_n_desc; ;;;;;;;;;;;;;
divider_for_org_o; ;;;;;;;;;;;;;
divider_for_org_o_desc; ;;;;;;;;;;;;;
divider_for_org_p; ;;;;;;;;;;;;;
divider_for_org_p_desc; ;;;;;;;;;;;;;
divider_for_org_q; ;;;;;;;;;;;;;
divider_for_org_q_desc; ;;;;;;;;;;;;;
divider_for_org_r; ;;;;;;;;;;;;;
divider_for_org_r_desc; ;;;;;;;;;;;;;
divider_for_org_s; ;;;;;;;;;;;;;
divider_for_org_s_desc; ;;;;;;;;;;;;;
divider_for_org_t; ;;;;;;;;;;;;;
divider_for_org_t_desc; ;;;;;;;;;;;;;
divider_for_org_u; ;;;;;;;;;;;;;
divider_for_org_u_desc; ;;;;;;;;;;;;;
divider_for_org_v; ;;;;;;;;;;;;;
divider_for_org_v_desc; ;;;;;;;;;;;;;
divider_for_org_w; ;;;;;;;;;;;;;
divider_for_org_w_desc; ;;;;;;;;;;;;;
divider_for_org_x; ;;;;;;;;;;;;;
divider_for_org_x_desc; ;;;;;;;;;;;;;
divider_for_org_y; ;;;;;;;;;;;;;
divider_for_org_y_desc; ;;;;;;;;;;;;;
divider_for_org_z; ;;;;;;;;;;;;;
divider_for_org_z_desc; ;;;;;;;;;;;;;
