Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME71015;MONARCHYPLACEHOLDER;;;;;;;;;;;;;
EVTDESC71015;MONARCHYPLACEHOLDER!;;;;;;;;;;;;;
EVTOPTA71015;MONARCHYPLACEHOLDER.;;;;;;;;;;;;;
EVTOPTB71015;MONARCHYPLACEHOLDER.;;;;;;;;;;;;;
EVTNAME71016;"So then I said";;;;;;;;;;;;;
EVTDESC71016; ;;;;;;;;;;;;;
EVTOPTA71016;When is the verb?;;;;;;;;;;;;;
slot_1;§b            §!;;;;;;;;;;;;;
slot_2;§b            §!;;;;;;;;;;;;;
slot_3;§b            §!;;;;;;;;;;;;;
slot_4;§b            §!;;;;;;;;;;;;;
slot_5;§b            §!;;;;;;;;;;;;;
slot_6;§b            §!;;;;;;;;;;;;;
slot_7;§b            §!;;;;;;;;;;;;;
slot_8;§b            §!;;;;;;;;;;;;;
slot_9;§b            §!;;;;;;;;;;;;;
slot_10;§b            §!;;;;;;;;;;;;;
slot_11;§b            §!;;;;;;;;;;;;;
slot_12;§b            §!;;;;;;;;;;;;;
slot_13;§b            §!;;;;;;;;;;;;;
slot_14;§b            §!;;;;;;;;;;;;;
slot_15;§b            §!;;;;;;;;;;;;;
slot_16;§b            §!;;;;;;;;;;;;;
slot_17;§b            §!;;;;;;;;;;;;;
slot_18;§b            §!;;;;;;;;;;;;;
slot_19;§b            §!;;;;;;;;;;;;;
slot_20;§b            §!;;;;;;;;;;;;;
linebreak_state;\n;;;;;;;;;;;;;
commabreak_state;,;;;;;;;;;;;;;
tabbreak_state;    ;;;;;;;;;;;;;
spacebreak_state; ;;;;;;;;;;;;;
flexicommabreak_state;,;;;;;;;;;;;;;
loc_and;;;;;;;;;;;;;;
berlin_conference_intro;§bThe following nations have been invited to the Berlin Conference.\n§!;;;;;;;;;;;;;
berlin_conference_intro_outro;§bTogether we can hope to avoid conflict in the division of the continent.\n§!;;;;;;;;;;;;;
berlin_conference_intro_tooltip;§YThis will begin a chain of events to divide the regions of Africa.\n§!;;;;;;;;;;;;;
berlin_conference_colony_sec_1;§bThe region of§!;;;;;;;;;;;;;
berlin_conference_colony_sec_2;§bis disputed between§!;;;;;;;;;;;;;
arbitration_and_disputes_state;§bOur rightful lands lie within the borders of our neighbors! We can chose a dispute and a great power to arbitrate which may be in to our favour. First we must choose the region§!;;;;;;;;;;;;;
arbitration_and_disputes_state_2;§bWe now must choose a§!;;;;;;;;;;;;;
arbitration_and_disputes_gp_or_entity;§bGreat Power§!;;;;;;;;;;;;;
arbitration_and_disputes_state_3;§bto adjudicate on our claim.§!;;;;;;;;;;;;;
change_capital_desc;§bno longer suits our needs.§!;;;;;;;;;;;;;
change_capital_desc_2;§bneeds a new administrative capital. Construction will take time, but will provide a local stimulus to our city of choice. This event will picks up to 5 cities with major populations and/or cultural significance.§!;;;;;;;;;;;;;
